09:40:32.391 [ClusterSystem-akka.actor.default-dispatcher-3] INFO  akka.event.slf4j.Slf4jLogger - Slf4jLogger started
09:40:32.866 [ClusterSystem-akka.actor.default-dispatcher-2] INFO  Remoting - Starting remoting
09:40:33.884 [ClusterSystem-akka.actor.default-dispatcher-2] INFO  Remoting - Remoting started; listening on addresses :[akka.tcp://ClusterSystem@127.0.0.1:3001]
09:40:33.966 [ClusterSystem-akka.actor.default-dispatcher-2] INFO  Cluster(akka://ClusterSystem) - Cluster Node [akka.tcp://ClusterSystem@127.0.0.1:3001] - Starting up...
09:40:33.973 [ClusterSystem-akka.actor.default-dispatcher-2] WARN  Cluster(akka://ClusterSystem) - [akka.cluster.auto-down] setting is replaced by [akka.cluster.auto-down-unreachable-after]
09:40:34.593 [ClusterSystem-akka.actor.default-dispatcher-4] INFO  Cluster(akka://ClusterSystem) - Cluster Node [akka.tcp://ClusterSystem@127.0.0.1:3001] - Registered cluster JMX MBean [akka:type=Cluster]
09:40:34.593 [ClusterSystem-akka.actor.default-dispatcher-4] INFO  Cluster(akka://ClusterSystem) - Cluster Node [akka.tcp://ClusterSystem@127.0.0.1:3001] - Started up successfully
09:40:34.663 [ClusterSystem-akka.actor.default-dispatcher-3] INFO  Cluster(akka://ClusterSystem) - Cluster Node [akka.tcp://ClusterSystem@127.0.0.1:3001] - Metrics will be retreived from MBeans, and may be incorrect on some platforms. To increase metric accuracy add the 'sigar.jar' to the classpath and the appropriate platform-specific native libary to 'java.library.path'. Reason: java.lang.ClassNotFoundException: org.hyperic.sigar.Sigar
09:40:34.671 [ClusterSystem-akka.actor.default-dispatcher-4] INFO  Cluster(akka://ClusterSystem) - Cluster Node [akka.tcp://ClusterSystem@127.0.0.1:3001] - Metrics collection has started successfully
09:40:34.725 [ClusterSystem-akka.actor.default-dispatcher-17] INFO  Cluster(akka://ClusterSystem) - Cluster Node [akka.tcp://ClusterSystem@127.0.0.1:3001] - Node [akka.tcp://ClusterSystem@127.0.0.1:3001] is JOINING, roles []
09:40:35.649 [ClusterSystem-akka.actor.default-dispatcher-2] INFO  Cluster(akka://ClusterSystem) - Cluster Node [akka.tcp://ClusterSystem@127.0.0.1:3001] - Leader is moving node [akka.tcp://ClusterSystem@127.0.0.1:3001] to [Up]
09:41:19.034 [ClusterSystem-akka.actor.default-dispatcher-2] INFO  akka.event.slf4j.Slf4jLogger - Slf4jLogger started
09:41:19.601 [ClusterSystem-akka.actor.default-dispatcher-4] INFO  Remoting - Starting remoting
09:41:20.600 [ClusterSystem-akka.actor.default-dispatcher-4] INFO  Remoting - Remoting started; listening on addresses :[akka.tcp://ClusterSystem@127.0.0.1:3002]
09:41:20.680 [ClusterSystem-akka.actor.default-dispatcher-4] INFO  Cluster(akka://ClusterSystem) - Cluster Node [akka.tcp://ClusterSystem@127.0.0.1:3002] - Starting up...
09:41:20.686 [ClusterSystem-akka.actor.default-dispatcher-4] WARN  Cluster(akka://ClusterSystem) - [akka.cluster.auto-down] setting is replaced by [akka.cluster.auto-down-unreachable-after]
09:41:21.265 [ClusterSystem-akka.actor.default-dispatcher-4] INFO  Cluster(akka://ClusterSystem) - Cluster Node [akka.tcp://ClusterSystem@127.0.0.1:3002] - Registered cluster JMX MBean [akka:type=Cluster]
09:41:21.265 [ClusterSystem-akka.actor.default-dispatcher-4] INFO  Cluster(akka://ClusterSystem) - Cluster Node [akka.tcp://ClusterSystem@127.0.0.1:3002] - Started up successfully
09:41:21.310 [ClusterSystem-akka.actor.default-dispatcher-3] INFO  Cluster(akka://ClusterSystem) - Cluster Node [akka.tcp://ClusterSystem@127.0.0.1:3002] - Metrics will be retreived from MBeans, and may be incorrect on some platforms. To increase metric accuracy add the 'sigar.jar' to the classpath and the appropriate platform-specific native libary to 'java.library.path'. Reason: java.lang.ClassNotFoundException: org.hyperic.sigar.Sigar
09:41:21.334 [ClusterSystem-akka.actor.default-dispatcher-2] INFO  Cluster(akka://ClusterSystem) - Cluster Node [akka.tcp://ClusterSystem@127.0.0.1:3002] - Metrics collection has started successfully
09:41:23.364 [ClusterSystem-akka.actor.default-dispatcher-3] INFO  Cluster(akka://ClusterSystem) - Cluster Node [akka.tcp://ClusterSystem@127.0.0.1:3001] - Node [akka.tcp://ClusterSystem@127.0.0.1:3002] is JOINING, roles []
09:41:23.619 [ClusterSystem-akka.actor.default-dispatcher-16] INFO  Cluster(akka://ClusterSystem) - Cluster Node [akka.tcp://ClusterSystem@127.0.0.1:3001] - Leader is moving node [akka.tcp://ClusterSystem@127.0.0.1:3002] to [Up]
09:41:23.984 [ClusterSystem-akka.actor.default-dispatcher-17] INFO  Cluster(akka://ClusterSystem) - Cluster Node [akka.tcp://ClusterSystem@127.0.0.1:3002] - Welcome from [akka.tcp://ClusterSystem@127.0.0.1:3001]
09:42:20.263 [client-akka.actor.default-dispatcher-2] INFO  akka.event.slf4j.Slf4jLogger - Slf4jLogger started
09:42:20.790 [client-akka.actor.default-dispatcher-3] INFO  Remoting - Starting remoting
09:42:21.800 [client-akka.actor.default-dispatcher-2] INFO  Remoting - Remoting started; listening on addresses :[akka.tcp://client@127.0.0.1:52108]
09:42:21.870 [client-akka.actor.default-dispatcher-2] INFO  Cluster(akka://client) - Cluster Node [akka.tcp://client@127.0.0.1:52108] - Starting up...
09:42:22.479 [client-akka.actor.default-dispatcher-2] INFO  Cluster(akka://client) - Cluster Node [akka.tcp://client@127.0.0.1:52108] - Registered cluster JMX MBean [akka:type=Cluster]
09:42:22.484 [client-akka.actor.default-dispatcher-2] INFO  Cluster(akka://client) - Cluster Node [akka.tcp://client@127.0.0.1:52108] - Started up successfully
09:42:22.492 [client-akka.actor.default-dispatcher-14] INFO  Cluster(akka://client) - Cluster Node [akka.tcp://client@127.0.0.1:52108] - No seed-nodes configured, manual cluster join required
09:42:22.568 [client-akka.actor.default-dispatcher-2] INFO  Cluster(akka://client) - Cluster Node [akka.tcp://client@127.0.0.1:52108] - Metrics will be retreived from MBeans, and may be incorrect on some platforms. To increase metric accuracy add the 'sigar.jar' to the classpath and the appropriate platform-specific native libary to 'java.library.path'. Reason: java.lang.ClassNotFoundException: org.hyperic.sigar.Sigar
09:42:22.578 [client-akka.actor.default-dispatcher-2] INFO  Cluster(akka://client) - Cluster Node [akka.tcp://client@127.0.0.1:52108] - Metrics collection has started successfully
09:42:23.849 [client-akka.actor.default-dispatcher-15] INFO  akka.contrib.pattern.ClusterClient - Connected to [akka.tcp://ClusterSystem@127.0.0.1:3001/user/receptionist]
09:42:33.638 [ClusterSystem-akka.actor.default-dispatcher-16] INFO  com.cluster.demo.Worker - Message received Greetings from ClusterDemoApp from akka://ClusterSystem/user/workers/$a
09:42:34.147 [ClusterSystem-akka.actor.default-dispatcher-15] INFO  com.cluster.demo.Worker - Message received Greetings from ClusterDemoApp from akka://ClusterSystem/user/workers/$a
09:42:35.139 [ClusterSystem-akka.actor.default-dispatcher-14] INFO  com.cluster.demo.Worker - Message received Greetings from ClusterDemoApp from akka://ClusterSystem/user/workers/$b
09:42:35.642 [ClusterSystem-akka.actor.default-dispatcher-2] INFO  com.cluster.demo.Worker - Message received Greetings from ClusterDemoApp from akka://ClusterSystem/user/workers/$b
09:42:36.644 [ClusterSystem-akka.actor.default-dispatcher-14] INFO  com.cluster.demo.Worker - Message received Greetings from ClusterDemoApp from akka://ClusterSystem/user/workers/$c
09:42:37.146 [ClusterSystem-akka.actor.default-dispatcher-2] INFO  com.cluster.demo.Worker - Message received Greetings from ClusterDemoApp from akka://ClusterSystem/user/workers/$c
09:42:38.151 [ClusterSystem-akka.actor.default-dispatcher-2] INFO  com.cluster.demo.Worker - Message received Greetings from ClusterDemoApp from akka://ClusterSystem/user/workers/$d
